epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2284.4,0.44156,0.30021,0.98398,0.76387,0.78333,0.81265,0.64951,0.82972,0.85402,1.26294,9.0797e-05,9.0797e-05,9.0797e-05
92,2308.98,0.42482,0.28426,0.97249,0.78995,0.79889,0.82967,0.66644,0.82097,0.83052,1.25374,8.25503e-05,8.25503e-05,8.25503e-05
93,2333.7,0.42832,0.28103,0.98279,0.79124,0.76351,0.82178,0.66036,0.82103,0.87918,1.24921,7.43036e-05,7.43036e-05,7.43036e-05
94,2358.36,0.41571,0.27463,0.96535,0.801,0.77924,0.81117,0.64822,0.8238,0.8568,1.2616,6.60569e-05,6.60569e-05,6.60569e-05
95,2383.13,0.41957,0.27098,0.96548,0.78301,0.79195,0.8238,0.66446,0.83516,0.83291,1.27026,5.78102e-05,5.78102e-05,5.78102e-05
96,2407.85,0.40922,0.26617,0.96037,0.78375,0.77866,0.82151,0.66141,0.8281,0.85264,1.26809,4.95635e-05,4.95635e-05,4.95635e-05
97,2432.63,0.4103,0.2641,0.96759,0.77812,0.80219,0.82695,0.66388,0.83655,0.84641,1.27743,4.13168e-05,4.13168e-05,4.13168e-05
98,2457.56,0.39867,0.26042,0.95309,0.78013,0.80472,0.82609,0.65574,0.83035,0.84132,1.27012,3.30701e-05,3.30701e-05,3.30701e-05
99,2482.29,0.39965,0.26262,0.95537,0.78682,0.7924,0.82407,0.65785,0.84304,0.85259,1.27978,2.48234e-05,2.48234e-05,2.48234e-05
100,2506.88,0.39819,0.25788,0.95173,0.78965,0.80244,0.82663,0.66401,0.83518,0.84217,1.27314,1.65767e-05,1.65767e-05,1.65767e-05
